happy | points | POSITIVE
pleased | points | POSITIVE
rested | points | POSITIVE
refreshed | points | POSITIVE
focused | points | POSITIVE
encouraged | points | POSITIVE
satisfied | points | POSITIVE
confident | points | POSITIVE
energised | points | POSITIVE
energized | points | POSITIVE
calm | points | POSITIVE
relaxed | points | POSITIVE
ready | points | POSITIVE
motivated | points | POSITIVE
clear | points | POSITIVE
steady | points | POSITIVE
tired | points | NEGATIVE
exhausted | points | NEGATIVE
drained | points | NEGATIVE
fatigued | points | NEGATIVE
stressed | points | NEGATIVE
overwhelmed | points | NEGATIVE
anxious | points | NEGATIVE
worried | points | NEGATIVE
frustrated | points | NEGATIVE
upset | points | NEGATIVE
low | points | NEGATIVE
weary | points | NEGATIVE
burnt | points | NEGATIVE
strained | points | NEGATIVE
unwell | points | NEGATIVE
lost | points | NEGATIVE
good | points | POSITIVE
good | points | POSITIVE
fine | points | POSITIVE
well | points | POSITIVE
